"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&ranges%3D2011_2017_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28%28%28%28%28%28Graphical+interface%29+OR+graphical+user+interface%29+OR+User-Computer%29+OR+User-Computer+Interfaces%29+OR+User+Computer+Interface%29+OR+Interface%29+OR+business+process%29+OR+BPM%29+OR+BPMS%29+OR+GUI%29",2016/09/30 15:38:18
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Neural recording system with low-noise analog front-end and comparator-based cyclic ADC","S. Kim; S. I. Na; T. H. Kim; H. Lee; S. Kim; C. Rhee; S. Kim","Department of Electrical Engineering and Computer Science, Seoul National University 1 Gwanak-Ro, Gwanak-Gu, Seoul 151-742, Korea","SOC Conference (SOCC), 2012 IEEE International","","2012","","","110","114","This paper describes a low-noise neural recording integrated circuit composed of a low-noise analog front-end (AFE) and a low-power analog-to-digital converter (ADC). The AFE amplifies biopotentials and the ADC converts input signal to digital output. The AFE exhibits 53.4dB of mid-band gain, 38.8Hz-10.6kHz of -3dB bandwidth. Total input referred noise (IRN) of AFE is 10.8μVrms and noise efficiency factor (NEF) is 8.1. The ADC achieves 10bit resolution and operates at 2.5MS/s. The chip is fabricated and successfully tested in a 0.18μm CMOS process.","2164-1676;21641676","","10.1109/SOCC.2012.6398393","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6398393","","Analog-digital conversion;Bandwidth;Charge transfer;Electronics packaging;Integrated circuits;Noise;Power demand","CMOS integrated circuits;analogue-digital conversion;comparators (circuits)","AFE;CMOS process;IRN;NEF;analog-to-digital converter;bandwidth 38.8 Hz to 10.6 kHz;comparator-based cyclic ADC;gain -3 dB;gain 53.4 dB;input referred noise;low-noise analog front-end;low-noise neural recording System;noise efficiency factor;size 0.18 mum;word length 10 bit","","2","","14","","","12-14 Sept. 2012","","IEEE","IEEE Conference Publications"
"A Framework for Innovation System Customization for Product Line-Based Software Businesses","F. Stallinger; R. Neumann","SCCH-Software Competence Center Hagenberg GmbH, Hagenberg, Austria","2013 39th Euromicro Conference on Software Engineering and Advanced Applications","","2013","","","94","97","Software Product Line Engineering (SPLE) allows delivering customized software products at reduced costs and time while simultaneously enhancing quality. To realize these benefits, it employs systematic variability management and proactive planning and engineering for reuse which to a significant extent require prescribing features, variants, etc. In an environment of increasingly demanding customers and ongoing pressure on costs, time, and quality, the risk increases that the necessary changes compromise the product line's envisioned structure and benefits. Innovating and flexibly adapting a product line to changing needs is thus highly challenging. Organizations are faced with a bulk of innovation approaches, models, success factors, etc. while the key challenge remains to establish an innovation management system tailored to an organization's specific needs. In this paper, we present a conceptual framework designed to supports SPLE organizations in developing a customized innovation system comprised of the elements innovation strategy, structure, process, culture, measurement, incentives, and learning by providing the requirements for these elements derived from the organization's business characteristics.","1089-6503;10896503","","10.1109/SEAA.2013.67","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6619495","Business Characteristics;Customization;Framework;Innovation Management;Innovation Management System;Software Business;Software Product Line Engineering","Context;Innovation management;Organizations;Software;Systematics;Technological innovation","innovation management;planning;product customisation;software quality;software reusability","SPLE organizations;customized software products;innovation management system;innovation strategy;innovation system customization framework;organizational business characteristics;proactive planning;product line-based software businesses;quality enhancement;software product line engineering;software reusability;systematic variability management","","0","","15","","","4-6 Sept. 2013","","IEEE","IEEE Conference Publications"
"Noninvasive heartbeat extraction from IR UWB radar signals","H. S. Cho; H. K. Lyu; Y. J. Park","Div. of IoT & Robot. Convergence Res., DGIST, Daegu, South Korea","Information and Communication Technology Convergence (ICTC), 2015 International Conference on","","2015","","","977","980","Modern society faces problems of increasing healthcare expenditure due to increases in numbers of chronic patients and an aging population. As so-called smart patients become proactive, they require individualized treatment and interactive care. A type of healthcare using ICT (Information & Communication Technology) is gaining interest as the best technological alternative for solving those problems. At DGIST, ICT-medical convergence technologies suitable for pervasive sensing and advanced healthcare services are under development. Impulse radio ultra-wideband complementary metal-oxide silicon (IR UWB CMOS) radar technology is considered a good candidate for sensing features of the human body. In this paper, a novel method that detects vital signals such as respiratory rate and heart rate using IR UWB radar is proposed and the feasibility of it being an appropriate technology for non-invasive biometric sensing is presented.","","","10.1109/ICTC.2015.7354717","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7354717","Biomedical Signal Processing;Heartbeat Rate;Impulse Radio;Radar;UWB","Electric fields;Electrocardiography;Heart beat;Skin;Time-frequency analysis;Ultra wideband radar","CMOS integrated circuits;cardiology;health care;medical signal detection;patient care;radar detection;radar signal processing;ultra wideband radar","DGIST;ICT-medical convergence technology;IR UWB radar signal;aging population;biometric sensing;chronic patient;healthcare expenditure;impulse radio ultra wideband complementary metal oxide silicon radar technology;information & communication technology;interactive care;noninvasive heartbeat extraction;pervasive sensing;smart patient;vital signal detection","","","","8","","","28-30 Oct. 2015","","IEEE","IEEE Conference Publications"
"A Realistic FDTD Numerical Modeling Framework of Ground Penetrating Radar for Landmine Detection","I. Giannakis; A. Giannopoulos; C. Warren","School of Engineering, Institute for Infrastructure and Environment, University of Edinburgh, Edinburgh, U.K.","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","","2016","9","1","37","51","A three-dimensional (3-D) finite-difference time-domain (FDTD) algorithm is used in order to simulate ground penetrating radar (GPR) for landmine detection. Two bowtie GPR transducers are chosen for the simulations and two widely employed antipersonnel (AP) landmines, namely PMA-1 and PMN are used. The validity of the modeled antennas and landmines is tested through a comparison between numerical and laboratory measurements. The modeled AP landmines are buried in a realistically simulated soil. The geometrical characteristics of soil's inhomogeneity are modeled using fractal correlated noise, which gives rise to Gaussian semivariograms often encountered in the field. Fractals are also employed in order to simulate the roughness of the soil's surface. A frequency-dependent complex electrical permittivity model is used for the dielectric properties of the soil, which relates both the velocity and the attenuation of the electromagnetic waves with the soil's bulk density, sand particles density, clay fraction, sand fraction, and volumetric water fraction. Debye functions are employed to simulate this complex electrical permittivity. Background features like vegetation and water puddles are also included in the models and it is shown that they can affect the performance of GPR at frequencies used for landmine detection (0.5-3 GHz). It is envisaged that this modeling framework would be useful as a testbed for developing novel GPR signal processing and interpretations procedures and some preliminary results from using it in such a way are presented.","1939-1404;19391404","","10.1109/JSTARS.2015.2468597","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7229259","Antennas;FDTD;GPR;GprMax;antipersonnel (AP) landmines;bowtie;dispersive;fractals;grass;modeling;roots;rough surface;vegetation;water puddles","Fractals;Ground penetrating radar;Landmine detection;Numerical models;Permittivity;Soil;Time-domain analysis","Gaussian processes;UHF antennas;UHF detectors;finite difference time-domain analysis;fractals;ground penetrating radar;landmine detection;microwave antennas;microwave detectors;radar antennas;transducers","3D FDTD numerical modeling framework;AP landmine detection;Debye functions;GPR signal processing;GPR transducer;Gaussian semivariograms;PMA-1;PMN;antenna;antipersonnel landmine detection;bulk density;clay fraction;dielectric property;electromagnetic wave;fractal correlated noise;frequency 0.5 GHz to 3 GHz;frequency-dependent complex electrical permittivity model;ground penetrating radar;numerical measurement;sand fraction;sand particles density;soil simulation;three-dimensional finite-difference time-domain algorithm;volumetric water fraction","","2","","96","","20150828","Jan. 2016","","IEEE","IEEE Journals & Magazines"
"Ultra-lightweight deep packet anomaly detection for Internet of Things devices","D. H. Summerville; K. M. Zach; Y. Chen","Department of Electrical and Computer Engineering, State University of New York at Binghamton, NY, USA","2015 IEEE 34th International Performance Computing and Communications Conference (IPCCC)","","2015","","","1","8","As we race toward the Internet of Things (IoT), small embedded devices are increasingly becoming network-enabled. Often, these devices can't meet the computational requirements of current intrusion prevention mechanisms or designers prioritize additional features and services over security; as a result, many IoT devices are vulnerable to attack. We have developed an ultra-lightweight deep packet anomaly detection approach that is feasible to run on resource constrained IoT devices yet provides good discrimination between normal and abnormal payloads. Feature selection uses efficient bit-pattern matching, requiring only a bitwise AND operation followed by a conditional counter increment. The discrimination function is implemented as a lookup-table, allowing both fast evaluation and flexible feature space representation. Due to its simplicity, the approach can be efficiently implemented in either hardware or software and can be deployed in network appliances, interfaces, or in the protocol stack of a device. We demonstrate near perfect payload discrimination for data captured from off the shelf IoT devices.","","","10.1109/PCCC.2015.7410342","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7410342","Internet of Things;network anomaly detection","Computational complexity;Detectors;Feature extraction;Hardware;Hidden Markov models;Payloads;Performance evaluation","Internet of Things;feature selection;security of data;table lookup","Internet of Things devices;IoT devices;bit-pattern matching;bitwise AND operation;conditional counter increment;feature selection;lookup-table;ultra-lightweight deep packet anomaly detection approach","","","","11","","","14-16 Dec. 2015","","IEEE","IEEE Conference Publications"
"A new buck boost interface converter with lower switching stress for photovoltaic application","J. Khajesalehi; H. Chalangar; E. Afjei","Dept. of Electr. & Comput. Eng., Shahid Beheshti Univ., Tehran, Iran","Power Electronics, Drive Systems and Technologies Conference (PEDSTC), 2014 5th","","2014","","","148","153","This paper proposes a power electronic interface (PEI) for photovoltaic (PV) system. This PEI is based on Neutral point clamped (NPC) inverter connected to a high step up boost converter with voltage doubler circuit to achieve higher boost capability and lower voltage stress on devices and also make neutral point for NPC inverter. Lower voltage stress on devices and its boost capability make mentioned PEI suitable for transformerless application that needs lower voltage stress on devices. Moreover a controller is presented to keep NPC capacitor voltage balanced and regulates PV voltage to its reference voltage provided in maximum power point tracking algorithm. The proposed PEI performance is verified using simulation in MATLAB/Simulink.","","","10.1109/PEDSTC.2014.6799361","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6799361","Boost converter;Neutral point clamped inverter;Photovoltaic;Power electronic interface","Load modeling;Logic gates;Performance evaluation;Software packages;Support vector machines;Switches;Voltage control","invertors;maximum power point trackers;photovoltaic power systems;power electronics","MATLAB/Simulink;NPC capacitor voltage;NPC inverter;PEI performance;PV system;PV voltage;buck boost interface converter;high step up boost converter;maximum power point tracking algorithm;neutral point clamped inverter;photovoltaic system;power electronic interface;switching stress;voltage doubler circuit;voltage stress","","0","","8","","","5-6 Feb. 2014","","IEEE","IEEE Conference Publications"
"Nonmechanical Laser Beam Steering Based on Polymer Polarization Gratings: Design Optimization and Demonstration","J. Kim; M. N. Miskiewicz; S. Serati; M. J. Escuti","Department of Electrical and Computer Engineering, North Carolina State University, Raleigh, North Carolina, CA, USA","Journal of Lightwave Technology","","2015","33","10","2068","2077","We present a wide-angle, nonmechanical laser beam steerer based on polymer polarization gratings with an optimal design approach for maximizing field-of-regard (FOR). The steering design offers exponential scaling of the number of steering angles, called suprabinary steering. The design approach can be easily adapted for any 1-D or 2-D (e.g, symmetric or asymmetric FOR) beam steering. We simulate a system using a finite difference and ray tracing tools and fabricate coarse beam steerer with 65° FOR with ~8° resolution at 1550 nm. We demonstrate high optical throughput (84%-87%) that can be substantially improved by optimizing substrates and electrode materials. This beam steerer can achieve very low sidelobes and supports comparatively large beam diameters paired with a very thin assembly and low beam walk-off. We also demonstrate using a certain type of LC variable retarder that the total switching time from any steering angle to another can be 1.7 ms or better.","0733-8724;07338724","","10.1109/JLT.2015.2392694","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7009951","Beam steering;diffractive optics;diractive optics;holography;lidar;liquid crystals;optical communications;polarization grating;radar","Beam steering;Gratings;Laser beams;Optical beams;Polymers;Switches;Vectors","beam steering;diffraction gratings;finite difference methods;laser beams;optical design techniques;optical fabrication;optical polymers;optical retarders;ray tracing","1-D beam steering;2-D beam steering;FOR;LC variable retarder;beam diameters;beam walk-off;design optimization;electrode materials;exponential scaling;field-of-regard;finite difference method;nonmechanical laser beam steering;optical throughput;optimal design;polymer polarization gratings;ray tracing tools;sidelobes;steering angle;steering design;substrates;suprabinary steering;time 1.7 ms;total switching time;wavelength 1550 nm;wide-angle laser beam steerer","","1","","27","","20150114","May15, 15 2015","","IEEE","IEEE Journals & Magazines"
"Advanced hexagonal layout design for split-gate reduced surface field stepped oxide U-groove metal–oxide–semiconductor field-effect transistor","W. Ying; H. Hai-Fan; Y. Cheng-Hao; W. Jia-Tong","Coll. of Inf. & Commun. Eng., Harbin Eng. Univ., Harbin, China","IET Power Electronics","","2015","8","5","678","684","Split-gate reduced surface field (RESURF) stepped oxide (SGRSO) device with advanced hexagonal p-pillar (AHP) layout is investigated using three-dimensional simulations. The AHP layout can improve the on-state characteristics while not increasing the process difficulty. The p-pillar under the source electrode enhances the RESURF effect to the n-drift region, so that the n-drift region doping concentration could be substantially increased and the breakdown voltage is not reduced. Based on the SGRSO device, the AHP layout modifies the electric field distribution in the n-drift region, and reduces the <i>R</i><sub>SP</sub> as compared with the common hexagonal and mesa strip layout structures. The figure of merit of the AHP layout improves by 49.8% as compared with the other two types of layouts, and the AHP has superior characteristics within a wider <i>N</i><sub>D</sub> range.","1755-4535;17554535","","10.1049/iet-pel.2013.0975","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7095702","","","MOSFET;semiconductor device breakdown;semiconductor device models;semiconductor doping","Split-gate reduced surface field stepped oxide device;advanced hexagonal layout design;advanced hexagonal p-pillar layout;breakdown voltage;doping concentration;electric field distribution;n-drift region;on-state characteristics;stepped oxide U-groove metal-oxide-semiconductor field-effect transistor;three-dimensional simulations","","0","","","","","5 2015","","IET","IET Journals & Magazines"
"Parasitic Back-Gate Effect in 3-D Fully Depleted Silicon on Insulator Integrated Circuits","B. D. Gaynor; S. Hassoun","Electr. & Comput. Eng. Dept., Tufts Univ., Medford, MA, USA","IEEE Transactions on Components, Packaging and Manufacturing Technology","","2014","4","1","100","108","3-D integrated circuits (ICs) promise to deliver faster, more compact circuitry with lower power consumption than equivalent planar ICs. However, 3-D integration introduces unique noise sources not present in planar ICs. In this paper, we identify how interconnect on a backside metal layer acts as a back gate of transistors on the adjacent tiers in 3-D fully depleted silicon on insulator technology. The resulting shift in threshold voltage is determined by process and backside interconnect geometries. We develop a framework to evaluate the impact of process parameters. Our results show that coupling due to backside metal results in 5X more electrostatic noise coupling than nearby through-oxide vias. The results also show that the change in threshold voltage of an NFET device increases with thicker front oxide, thinner buried oxide, thinner silicon film, and increased backside metal voltage. Additionally, we simulate the adverse effects of back-gate coupling on circuit performance using a representative analog test circuit, an analog amplifier. We show that the back-gate voltage can change the output of an inverting amplifier by as much as the output swing of the amplifier (0.058 V) under normal operation.","2156-3950;21563950","","10.1109/TCPMT.2013.2272401","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6587114","3-D integrated circuit (IC);back-gate effect;computer-aided design (CAD);fully depleted silicon on insulator (FDSOI)","Couplings;Logic gates;Noise;Silicon;Solid modeling;Threshold voltage;Transistors","elemental semiconductors;field effect transistors;integrated circuit noise;integrated circuit testing;power consumption;silicon;three-dimensional integrated circuits","3D fully depleted silicon;3D integrated circuits;3D integration;NFET device;Si;analog amplifier;analog test circuit;back gate;back-gate coupling;back-gate voltage;backside interconnect geometries;backside metal layer;backside metal voltage;buried oxide;circuit performance;compact circuitry;electrostatic noise coupling;front oxide;insulator integrated circuits;insulator technology;noise sources;output swing;parasitic back-gate effect;planar IC;power consumption;process parameters;silicon film;threshold voltage;through-oxide vias;transistors","","0","","17","","20130826","Jan. 2014","","IEEE","IEEE Journals & Magazines"
"An optimized WS-eventing for large-scale networks","J. Skodzik; V. Altmann; P. Danielis; M. Koal; D. Timmermann","University of Rostock Institute of Applied Microelectronics and Computer Engineering 18051 Rostock, Germany","Proceedings of the 2014 IEEE Emerging Technology and Factory Automation (ETFA)","","2014","","","1","6","Web Services are becoming more and more relevant also in the domain of embedded devices as they are becoming an important aspect of the Internet of Things. Embedded devices, especially in the field of automation, require real-time behavior. The Devices Profile for Web Services defines WS-Standards for embedded systems. The WS-Eventing is one of this standards within DPWS and enables the distributions of events. However, WS-Eventing has a scalability problem as in ad-hoc networks the notification is transmitted sequential by an event source. Under these circumstances, it is not suitable for large-scale networks with a high amount of devices. Therefore, a new approach is presented to solve this issue by acquiring helping devices. The communication is only based on unicast IP communication and thus is easy to integrate into automation infrastructures and could be established over several subnets. This approach has been investigated with an experimental setup and shows the high scalability compared to the original notification mechanism. Additionally, the real-time capability is given due to the chosen platform and real-time operating system. Thus, the new approach enables the idea of Internet of Things in automation scenarios.","1946-0740;19460740","","10.1109/ETFA.2014.7005248","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7005248","","Automation;Prototypes;Real-time systems;Reliability;Scalability;Standards;Subscriptions","IP networks;Internet of Things;Web services;embedded systems;operating systems (computers)","DPWS;Internet of Things;WS-Eventing;WS-Standards;Web services;adhoc networks;automation infrastructures;embedded devices;embedded systems;event source;large-scale networks;optimized WS-eventing;real-time capability;scalability problem;unicast IP communication","","0","","21","","","16-19 Sept. 2014","","IEEE","IEEE Conference Publications"
"Permlyzer: Analyzing permission usage in Android applications","W. Xu; F. Zhang; S. Zhu","Dept. of Comput. Sci. & Eng., Pennsylvania State Univ., University Park, PA, USA","2013 IEEE 24th International Symposium on Software Reliability Engineering (ISSRE)","","2013","","","400","410","As one of the most popular mobile platforms, the Android system implements an install-time permission mechanism to provide users with an opportunity to deny potential risky permissions requested by an application. In order for both users and application vendors to make informed decisions, we designed and built Permlyzer, a general-purpose framework to automatically analyze the uses of requested permissions in Android applications. Permlyzer leverages the combination of runtime analysis and static examination to perform an accurate and in-depth analysis. The call stack-based analysis in Permlyzer can provide fine-grained information of the permission uses from various aspects include location, cause and purpose. More importantly, Permlyzer can automatically explore the functionality of an application and analyze the permission uses. Our evaluation using 51 malware/spyware families and over 110,000 Android applications demonstrates that Permlyzer can provide detailed permission use analysis and discover the characteristics of the permission uses in both benign and malicious applications.","1071-9458;10719458","","10.1109/ISSRE.2013.6698893","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6698893","","Androids;Correlation;Humanoid robots;Internet;Java;Runtime;Smart phones","Android (operating system);mobile computing;program diagnostics","Android system;Permlyzer;call stack-based analysis;in-depth analysis;install-time permission mechanism;mobile platforms;potential risky permissions;runtime analysis;static examination","","5","","34","","","4-7 Nov. 2013","","IEEE","IEEE Conference Publications"
"A Framework for Modeling Decision Making and Deception with Semantic Information","C. Griffin; K. Moore","Appl. Res. Lab., Penn State Univ., University Park, PA, USA","Security and Privacy Workshops (SPW), 2012 IEEE Symposium on","","2012","","","68","74","We propose a mixed logical and game theoretic framework for modeling decision making under the potential for deception. This framework is most appropriate for online communities in which a decision maker must act upon information being provided by various sources with various different motivations. We show that in the simple three-player game we propose there are always equilibria in pure strategies. We then extend the three player game to a case where there are mixed strategy equilibria. We discuss how to approximate the truth of a given statement using a logical construct and how this can be used as a proxy in payoff functions. Finally we discuss as future directions the use of regret functions and live play.","","","10.1109/SPW.2012.25","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227686","Deception;Formal Models;Game Theory;Social Networks","Business;Communities;Educational institutions;Encyclopedias;Games;Internet;Semantics","decision making;game theory","deception;decision making;game theoretic framework;live play;logical framework;mixed strategy equilibria;modeling framework;online communities;payoff functions;pure strategies;regret functions;semantic information;three-player game","","1","","13","","","24-25 May 2012","","IEEE","IEEE Conference Publications"
"A surge in small cells [2013 Tech To Watch]","A. Bleicher","","IEEE Spectrum","","2013","50","1","38","39","During the many years he worked for Hewlett-Packard's branch in the United Kingdom, Alan Breadmore often drove up the hill outside his village of East Garston to make calls on his company cellphone. ""It was the only place I could get reception,"" he says. ""We had no mobile phone service in the village-no 2G, nothing"".","0018-9235;00189235","","10.1109/MSPEC.2013.6395306","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6395306","","Cellular networks;Land mobile radio cellular systems;Telecommuication network management","cellular radio;mobile handsets","Alan Breadmore;Hewlett Packard branch;United Kingdom;company cellphone;mobile phone service","","5","","","","","Jan. 2013","","IEEE","IEEE Journals & Magazines"
"Directly buried gas-insulated transmission lines (GIL)","S. Poehler; P. Rudenko","Siemens AG, Erlangen, Germany","Transmission and Distribution Conference and Exposition (T&D), 2012 IEEE PES","","2012","","","1","5","Regarding the increasing interest in underground transmission systems, gas-insulated lines (GIL) represent an attractive alternative to cable solutions. Changes in the regulatory framework with respect to planned extensions of extra high voltage (EHV) systems have intensified the demand for underground transmission lines in general. GIL are utilized mainly above ground (e.g. in substations) or in underground tunnels. However, the option of a directly buried GIL which does not need the expenditure of a tunnel has not so far been put into effect in the EHV range, although it exhibits a number of advantages such as high current carrying capacity, low losses, low charging capacity etc. Some years ago a test installation of directly buried GIL proved that the operation of such a system is favourable in many aspects. For this reason, it was decided in 2008 to set up a system for commercial use in the network of German network operator Amprion. In the area of Frankfurt airport, a double system of a directly buried GIL with a total length of about one km has been erected to ensure the safety distance between overhead transmission line (OHL) and the new runway. The GIL containing an N<sub>2</sub>/SF<sub>6</sub> gas mixture is at one end directly connected to a 400 kV gas-insulated substation (GIS). At the other end the GIL joins the incoming OHL via gas-insulated bushings.","2160-8555;21608555","","10.1109/TDC.2012.6281707","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6281707","Directly buried GIL;N<inf>2</inf>/SF<inf>6</inf> gas mixture;gas-insulated power transmission lines (GIL);loading and overloading capability;on-site testing;underground lines","Gas insulation;Insulators;Loading;Partial discharges;Soil;Testing;Welding","SF<sub>6</sub> insulation;bushings;gas insulated substations;power cable insulation;power overhead lines;underground cables;underground transmission systems","EHV systems;Frankfurt airport;GIS;German network operator Amprion;N<sub>2</sub>-SF<sub>6</sub> gas mixture;OHL;directly buried GIL;directly buried gas-insulated transmission lines;extrahigh voltage systems;gas-insulated bushings;gas-insulated substation;overhead transmission line;underground transmission systems;underground tunnels;voltage 400 kV","","3","","7","","","7-10 May 2012","","IEEE","IEEE Conference Publications"
"A brief introduction to OpenCV","I. Culjak; D. Abram; T. Pribanic; H. Dzapo; M. Cifrek","Faculty of electrical engineering and computing, University of Zagreb, Croatia","MIPRO, 2012 Proceedings of the 35th International Convention","","2012","","","1725","1730","The purpose of this paper is to introduce and quickly make a reader familiar with OpenCV (Open Source Computer Vision) basics without having to go through the lengthy reference manuals and books. OpenCV is an open source library for image and video analysis, originally introduced more than decade ago by Intel. Since then, a number of programmers have contributed to the most recent library developments. The latest major change took place in 2009 (OpenCV 2) which includes main changes to the C++ interface. Nowadays the library has >;2500 optimized algorithms. It is extensively used around the world, having >;2.5M downloads and >;40K people in the user group. Regardless of whether one is a novice C++ programmer or a professional software developer, unaware of OpenCV, the main library content should be interesting for the graduate students and researchers in image processing and computer vision areas. To master every library element it is necessary to consult many books available on the topic of OpenCV. However, reading such more comprehensive material should be easier after comprehending some basics about OpenCV from this paper.","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240859","","Cameras;Computer vision;Detectors;Histograms;Image edge detection;Libraries;Low pass filters","C++ language;computer vision;public domain software;software libraries","C++ interface;Intel;OpenCV;image analysis;image processing;library developments;open source computer vision;open source library;video analysis","","3","","35","","","21-25 May 2012","","IEEE","IEEE Conference Publications"
"Pathology of knowledge management in universities","A. Toloie-Eshlaghy; A. Poorebrahimi; E. N. Farokhi","Dept. of Ind. Manage., Islamic Azad Univ. (IAU), Tehran, Iran","Science and Information Conference (SAI), 2013","","2013","","","590","596","Universities are major centers of production and dissemination of knowledge. Because of proximity of knowledge to decisions more data can improve the performance and quality of service organizations. On the other hand, Knowledge management is a systematic issue Categories that successful implementation requires a pathology and holistic approach to organizational various factors. In this paper, we try to make a new approach, based on group decision-making approach for prioritizing effective indicators to implement knowledge management in universities is introduced. Improving the decision-making process for implementing knowledge management in universities is one of the results of this research. The main question of this paper is why knowledge management in universities, not be able to run? In this paper identification and prioritization of effective indicators on implementation of knowledge management systems are examined. Initially, by study of literature, the effective indicators on implementation of knowledge management in various organizations are identified and After screening them using statistical analysis, 7 effective indicators in three areas of strategy, planning and implementation in universities, have been classified then, by using Decision Making Trial and Evaluation Laboratory(DEMATEL), prioritization of effective indicators on implementation of knowledge management in universities in these three areas is done.","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6661798","DEMATEL1;Group Decision Making;Implementation;Knowledge Management;Pathology;Planning;Strategy;University","Decision making;Educational institutions;Knowledge engineering;Knowledge management;Organizations;Standards organizations;Training","decision making;educational institutions;knowledge management;organisational aspects;statistical analysis","DEMATEL;decision making trial and evaluation laboratory;decision-making approach;decision-making process;knowledge management pathology;organisational aspects;service organizations;statistical analysis;universities","","0","","20","","","7-9 Oct. 2013","","IEEE","IEEE Conference Publications"
"The convergence of HPC and embedded systems in our heterogeneous computing future","D. Kaeli; D. Akodes","Department of Electrical and Computer Engineering, Northeastern University, Boston, MA 02115, USA","Computer Design (ICCD), 2011 IEEE 29th International Conference on","","2011","","","9","11","Recently we have seen two exciting trends that have been flooding the market: 1) the movement of graphics processing units into mainstream general-purpose platforms, and 2) the movement of multi-core embedded systems into tablet computing and smartphone spaces. These trends are forcing application developers to rethink how they are going to best utilize these many-core and multi-core heterogeneous platforms to provide new levels of cost/performance/power in a range of emerging application domains. A key driver in this movement is the recognition that traditional graphics devices can play a larger role in computation than was ever considered before. The high performance computing community has fueled this development, and has demonstrated that Graphics Processing Units can be utilized in a range of general purpose and embedded systems applications. By making this class of devices programmable, a new era in heterogeneous computing has begun. We will discuss some of the catalysts behind these changes, and consider what lies ahead in the future for heterogeneous computing. We will touch on current trends in computing core architectures and programming frameworks, as well as discuss what new classes of applications will be possible as we arrive at the intersection of these two vastly different computing domains.","1063-6404;10636404","","10.1109/ICCD.2011.6081368","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6081368","","Computer architecture;Convergence;Embedded systems;Graphics processing unit;Media;Performance evaluation;Programming environments","computer graphic equipment;coprocessors;embedded systems;multiprocessing systems","graphics processing units;heterogeneous computing;high performance computing;mainstream general-purpose platform;many-core heterogeneous platform;multicore embedded system;multicore heterogeneous platform;smartphone;tablet computing","","2","","14","","","9-12 Oct. 2011","","IEEE","IEEE Conference Publications"
"Energy efficient passive optical networks with low power VCSELs","E. Wong","Dept of Electrical and Electronic Engineering, The University of Melbourne, VIC 3010, Australia","2012 21st Annual Wireless and Optical Communications Conference (WOCC)","","2012","","","48","50","Efforts in reducing the power consumption of next-generation optical transceivers through the use of 10 Gb/s vertical cavity surface emitting lasers (VCSELs) in optical network units (ONUs) will be reviewed. Energy savings from a VCSEL ONU in power saving mode will be compared to an active distributed feedback laser based ONU, and will be analytically computed as a function of network parameters. Guidance on the specific power saving mode in order to maximise energy efficiency throughout the day will be outlined.","2379-1268;23791268","","10.1109/WOCC.2012.6198146","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6198146","energy-efficiency;optical network unit;passive optical networks;vertical cavity surface emitting lasers","Energy efficiency;Optical network units;Optical transmitters;Passive optical networks;Power demand;Sleep;Vertical cavity surface emitting lasers","energy conservation;low-power electronics;optical transceivers;power consumption;semiconductor lasers;surface emitting lasers","active distributed feedback laser;energy efficient passive optical networks;low power VCSEL;next-generation optical transceivers;power saving mode","","0","","12","","","19-21 April 2012","","IEEE","IEEE Conference Publications"
